elem	freq	tree	encode	decode	
100	15.17	1.47	8.71	73.7
200	34.35	1.82	67.95	194.19
300	34.15	0.51	21.52	161.79
400	51.42	1.06	32.37	256.83
500	61.13	0.87	37.48	290.39
600	65.67	0.57	42.16	310.0
700	90.99	1.27	55.98	423.85
800	103.08	1.12	64.97	492.16
900	115.24	0.85	72.29	513.24
1000	123.73	1.18	75.71	580.52
1100	133.4	1.01	82.81	624.74
1200	145.19	0.89	87.94	662.55
1300	154.15	0.84	95.33	724.29
1400	166.61	0.95	111.05	810.27
1500	181.03	1.33	128.35	916.65
1600	202.12	1.1	126.03	901.47
1700	197.85	0.82	124.91	925.47
1800	196.39	0.95	127.71	981.96
1900	227.62	1.1	143.41	1058.76
2000	218.02	0.89	151.3	1044.37
2100	248.3	0.81	160.38	1138.88
2200	272.7	1.48	174.58	1248.14
2300	289.4	1.25	179.1	1391.19
2400	286.96	1.21	185.35	1361.38
2500	296.64	1.09	193.66	1413.73
2600	301.88	0.93	191.84	1433.34
2700	334.2	1.34	207.6	1550.01
2800	333.48	1.27	212.45	1595.76
2900	330.03	1.14	219.07	1618.37
3000	337.04	1.01	269.26	1683.12
3100	382.31	1.25	243.1	1688.25
3200	398.77	1.25	242.75	1796.36
3300	393.86	1.12	257.61	1807.62
3400	425.48	1.6	260.65	1886.19
3500	409.78	1.16	265.32	1926.32
3600	422.35	1.24	295.97	2043.86
3700	432.18	1.17	282.72	2061.5
3800	462.78	1.17	290.54	2139.22
3900	449.67	1.34	313.5	2157.42
4000	474.46	1.15	309.79	2149.58
4100	490.95	1.2	302.23	2239.12
4200	495.0	1.08	309.69	2342.42
4300	514.64	1.31	323.8	2428.69
4400	512.41	1.16	328.46	2408.07
4500	543.01	1.15	344.35	2507.06
4600	544.16	1.4	331.17	2498.04
4700	535.12	1.19	340.38	2534.07
4800	571.03	1.24	343.81	2575.36
4900	590.53	1.14	374.26	2705.95
5000	589.93	1.2	379.03	2816.5
5100	581.7	1.2	380.45	2801.13
5200	594.85	1.19	370.52	2765.33
5300	594.8	1.08	372.24	2872.1
5400	608.08	1.25	379.53	2957.59
5500	634.46	1.16	393.89	3067.25
5600	615.28	1.3	448.3	3033.83
5700	613.41	1.15	566.69	3103.81
5800	621.64	1.32	564.3	3004.36
5900	688.05	1.85	545.28	3020.42
6000	646.13	1.05	569.65	3183.15
6100	843.41	1.29	499.02	3167.74
6200	666.53	1.19	598.7	3248.64
6300	736.07	1.18	445.4	3220.46
6400	808.56	1.21	501.81	3434.39
6500	785.32	1.25	499.21	3536.15
6600	812.58	1.57	493.76	3540.29
6700	825.26	1.35	527.18	3685.4
6800	778.76	1.26	487.55	3560.08
6900	844.63	1.2	530.37	3765.83
7000	849.97	1.19	515.19	3708.44
7100	862.78	1.15	510.41	3728.29
7200	811.22	1.24	507.07	3778.57
7300	862.34	1.17	528.15	3811.78
7400	838.17	1.15	518.62	3894.46
7500	909.27	1.18	561.67	3963.01
7600	937.43	1.71	592.76	4670.68
7700	952.44	1.59	558.2	4196.44
7800	930.23	1.21	603.31	4316.79
7900	914.0	1.23	574.39	4342.11
8000	954.45	1.28	563.53	4309.34
8100	1021.89	1.18	667.61	4385.67
8200	1009.6	1.52	670.09	4488.54
8300	939.91	1.39	584.38	4392.69
8400	963.26	1.25	692.77	4557.55
8500	958.95	1.34	685.03	4744.19
8600	939.94	1.31	679.33	4732.61
8700	1084.65	1.71	679.15	4870.77
8800	993.41	1.27	626.25	4653.77
8900	1021.9	1.28	650.92	4844.4
9000	1084.36	1.45	663.3	4935.72
9100	1050.96	1.45	660.39	4906.56
9200	1130.18	1.42	670.98	5153.44
9300	1109.42	1.53	685.76	5240.4
9400	1137.13	1.28	718.98	5203.22
9500	1076.54	1.28	692.58	5109.0
9600	1098.49	1.15	726.27	5265.27
9700	1129.31	1.42	702.95	5291.22
9800	1180.22	1.33	746.41	5535.9
9900	1146.76	1.72	772.31	5556.26
10000	1094.81	1.52	706.86	5318.15
10100	1162.45	1.58	723.48	5406.84
10200	1240.56	1.5	768.01	5855.38
10300	1208.71	1.21	758.39	5688.84
10400	1194.93	1.47	781.36	5815.07
10500	1264.05	1.8	807.3	6188.08
10600	1188.93	1.3	757.43	5957.17
10700	1261.77	1.63	817.87	6143.91
10800	1227.31	1.68	978.69	6260.65
10900	1245.42	1.78	1014.52	6458.43
11000	1269.98	1.41	986.99	6243.28
11100	1355.84	2.09	975.89	6243.2
11200	1242.66	1.35	1026.32	6149.35
11300	1205.26	1.17	983.79	6139.83
11400	1225.63	1.44	1032.9	6221.84
11500	1263.37	1.57	1025.56	6246.88
11600	1444.74	1.48	887.17	6379.09
11700	1436.7	1.51	872.3	6377.08
11800	1439.08	1.72	893.85	6641.86
11900	1457.46	1.78	919.8	6814.11
12000	1420.67	1.96	915.93	6690.19
12100	1461.96	1.62	951.49	6745.12
12200	1526.72	1.81	933.27	6930.64
12300	1485.02	1.61	900.83	6714.77
12400	1506.2	1.79	930.3	6896.94
12500	1468.14	1.69	907.94	6828.7
12600	1501.07	1.72	945.84	7137.24
12700	1572.66	1.8	966.54	7250.87
12800	1500.1	1.62	974.99	7068.88
12900	1541.73	1.49	977.08	7293.69
13000	1599.74	1.98	995.14	7466.15
13100	1594.95	1.67	1066.82	7481.18
13200	1556.19	1.76	1059.58	7608.8
13300	1528.45	1.88	965.08	7320.94
13400	1646.85	1.89	1028.79	7587.07
13500	1539.82	1.53	1007.73	7473.94
13600	1501.85	2.12	939.75	7421.46
13700	1620.48	1.83	1016.41	7709.26
13800	1601.16	2.02	1072.91	7611.41
13900	1700.24	2.24	1015.24	7850.04
14000	1647.95	2.34	1023.08	7914.93
14100	1682.19	1.67	1047.31	7784.68
14200	1705.64	2.22	1061.04	8183.76
14300	1749.59	2.04	1067.41	8065.66
14400	1657.44	2.04	1089.61	7932.49
14500	1740.3	1.93	1094.64	8210.34
14600	1653.04	2.09	1014.99	7897.35
14700	1745.48	2.58	1090.57	8248.36
14800	1619.86	2.32	1042.41	8002.73
14900	1726.4	2.02	1151.96	8573.05
15000	1707.16	2.33	1102.52	8484.21
15100	1709.11	2.31	1115.61	8292.52
15200	1826.63	2.16	1179.0	8527.68
15300	1704.48	2.36	1130.69	8440.82
15400	1878.53	2.19	1176.67	8747.75
15500	1877.79	2.08	1199.27	8958.74
15600	1744.45	2.15	1132.14	8676.04
15700	1732.68	1.84	1113.4	8738.61
15800	1717.42	1.57	1220.19	8472.81
15900	1709.83	1.55	1296.74	8706.54
16000	1736.71	2.03	1409.82	9268.95
16100	1743.68	2.02	1303.65	8875.67
16200	1778.38	2.0	1252.22	8778.95
16300	1742.26	1.85	1367.16	8877.16
16400	1804.2	2.05	1425.25	9272.04
16500	1758.1	2.79	1425.54	9241.71
16600	2030.48	2.71	1252.01	9714.98
16700	2023.76	2.83	1228.81	9432.51
16800	2004.06	2.63	1240.13	9330.48
16900	2034.6	2.31	1226.74	9236.24
17000	2012.06	2.3	1239.17	9502.44
17100	1982.67	2.74	1225.97	9659.92
17200	1948.47	2.43	1236.47	9560.95
17300	2018.11	2.8	1316.22	9932.53
17400	1896.73	2.76	1226.39	9578.16
17500	2030.38	2.5	1309.4	9976.95
17600	1994.11	2.71	1362.04	9810.45
17700	2068.72	2.61	1269.38	9888.67
17800	2042.12	2.83	1327.56	10019.02
17900	2040.3	3.13	1266.95	9984.76
18000	2209.92	2.68	1352.34	10334.43
18100	2186.82	2.98	1346.11	10585.7
18200	2142.58	2.93	1455.28	10466.02
18300	2264.53	3.61	1414.43	10798.56
18400	2210.64	2.78	1383.8	10653.71
18500	2308.15	2.69	1388.48	10848.59
18600	2233.89	2.75	1396.09	10595.61
18700	2165.86	3.03	1452.11	10947.22
18800	2290.64	2.58	1389.89	10668.85
18900	2152.9	2.86	1397.35	10273.27
19000	2135.63	2.91	1363.99	10560.77
19100	2178.98	2.68	1466.73	10894.98
19200	2207.0	2.48	1377.4	10691.27
19300	2226.96	2.66	1346.29	10817.76
19400	2275.0	2.91	1454.01	11252.17
19500	2339.51	2.5	1495.61	10853.12
19600	2179.06	2.2	1355.56	10170.96
19700	2342.41	2.47	1427.89	11541.0
19800	2311.97	3.03	1532.89	11500.37
19900	2419.64	2.81	1476.19	11672.74
20000	2312.41	2.85	1436.58	10968.61
