elem	freq	tree	encode	decode	
100	28.19	53.04	11.67	272.54
200	43.62	6.14	23.62	538.07
300	59.97	6.17	34.2	790.66
400	124.69	12.41	46.53	1590.5
500	111.0	8.04	49.7	1431.39
600	109.27	5.71	68.39	1600.49
700	150.73	7.01	75.91	2061.58
800	163.5	6.28	87.89	2082.97
900	172.02	5.86	96.69	2380.22
1000	195.97	7.04	110.78	2890.57
1100	239.83	7.71	134.99	3357.55
1200	244.82	10.39	155.92	4152.04
1300	258.84	7.45	164.6	3863.18
1400	268.29	7.51	152.98	3719.66
1500	311.9	13.99	183.12	5843.61
1600	340.6	9.37	222.55	5305.58
1700	357.22	7.86	189.89	4948.13
1800	377.59	10.32	216.64	5971.88
1900	378.09	11.44	220.09	6408.74
2000	469.84	17.72	315.32	9503.68
2100	413.82	10.15	251.62	6833.54
2200	443.39	9.81	268.57	7361.05
2300	436.29	9.21	310.83	7474.68
2400	573.94	13.03	362.72	9528.8
2500	509.48	9.79	348.78	8227.75
2600	566.17	10.03	365.07	9119.16
2700	589.65	10.8	364.2	9752.44
2800	564.58	10.83	382.85	10240.9
2900	572.8	8.79	286.51	8715.36
3000	569.71	10.41	500.65	10569.94
3100	586.0	10.5	470.7	10554.05
3200	576.62	8.4	469.45	9295.37
3300	715.15	12.33	417.25	11696.5
3400	733.81	10.53	462.3	10590.31
3500	739.7	11.91	517.39	12458.49
3600	738.84	9.62	456.99	11383.04
3700	850.96	11.15	463.98	12983.4
3800	926.39	10.24	521.44	12249.98
3900	819.11	9.88	487.18	13075.37
4000	824.28	7.57	472.72	11263.39
4100	892.6	12.02	639.23	15484.89
4200	850.4	11.44	592.12	15334.86
4300	1137.87	12.97	677.6	16818.52
4400	932.25	13.3	645.16	17172.27
4500	826.34	11.15	694.34	16555.8
4600	1031.12	12.14	583.7	16646.81
4700	981.63	12.89	614.83	16987.5
4800	1147.6	12.49	626.98	17058.82
4900	993.04	10.97	657.49	17194.06
5000	996.98	13.14	596.56	18575.87
5100	1094.81	14.22	748.62	19954.2
5200	1142.96	9.42	664.23	16457.51
5300	1004.0	11.38	780.45	18324.83
5400	1136.9	12.75	802.2	20428.39
5500	1118.14	11.61	687.02	19705.7
5600	1193.15	10.98	610.55	17978.46
5700	1223.34	13.76	773.74	22319.52
5800	1406.12	13.48	861.18	21345.72
5900	1213.01	12.09	796.82	21147.0
6000	1335.28	14.85	951.24	25427.64
6100	1240.88	11.51	828.1	20970.71
6200	1299.21	13.63	919.31	24753.93
6300	1360.71	12.45	871.65	22798.36
6400	1430.03	11.75	870.04	22305.85
6500	1413.64	12.52	796.82	23297.91
6600	1386.76	13.35	818.11	21605.03
6700	1486.79	13.86	903.74	25946.42
6800	1814.49	21.32	1205.29	37905.09
6900	1504.08	13.64	918.28	26609.35
7000	1460.12	12.84	900.39	25498.41
7100	1346.47	15.31	1040.62	29797.72
7200	1372.4	13.02	973.89	27607.22
7300	1547.79	15.73	1102.41	29635.72
7400	1460.31	10.59	1092.36	25199.71
7500	1649.99	15.66	1132.37	30513.5
7600	1627.63	12.35	861.98	26392.03
7700	1596.72	14.21	959.67	30012.94
7800	1712.03	14.38	1177.98	30481.49
7900	1798.56	16.64	1140.93	34031.6
8000	1610.8	13.15	962.89	30166.35
8100	1673.14	16.66	1084.95	33592.01
8200	1702.35	14.15	1104.07	31076.11
8300	1720.52	13.81	1164.03	31261.33
8400	1917.82	13.92	980.67	30871.22
8500	1755.66	16.79	1022.59	31051.76
8600	1613.47	10.76	1097.69	29641.55
8700	2024.4	14.11	1123.41	33811.6
8800	1761.22	14.1	1435.39	32286.08
8900	1846.11	16.46	1233.52	38637.51
9000	1854.61	12.22	1203.2	34774.16
9100	2041.31	15.68	1393.26	37744.95
9200	1797.09	13.64	1232.21	35035.82
9300	2058.32	12.45	1334.07	32932.34
9400	1859.13	13.58	1412.48	36019.31
9500	1919.45	14.53	1554.78	39107.24
9600	1886.59	13.29	1344.18	36883.58
9700	1894.03	12.7	1436.14	34652.26
9800	2079.87	18.91	1369.95	40502.64
9900	2080.66	15.33	1193.99	38380.9
10000	2141.28	20.95	1253.24	39062.27
