filtrerade filter = [32, 101, 116, 97, 111, 110, 105, 115, 114, 104]

elem	freq	tree	encode	decode	
15400	1946.48	2.61	1172.06	10722.11
15500	1970.64	2.53	1177.88	10685.16
15600	1975.39	2.85	1211.87	11109.22
15700	1955.28	2.91	1205.46	11093.71
15800	1984.62	2.65	1203.5	10924.67
15900	1908.03	2.95	1189.37	10924.43
16000	2005.95	2.49	1166.85	11181.52
16100	2005.93	2.68	1231.99	11162.68
16200	2009.21	3.39	1224.72	11409.51
16300	2019.53	2.61	1199.93	11540.44
16400	2021.39	2.85	1255.88	11374.22
16500	2149.7	2.7	1241.69	11565.0
16600	2062.02	3.08	1230.04	11452.02
16700	2112.15	3.04	1252.05	11670.41
16800	2148.54	3.38	1239.74	11639.69
16900	2152.09	2.92	1269.16	12068.97
17000	2132.39	3.15	1282.98	12070.24
17100	2228.8	3.17	1324.05	11720.5
17200	2099.53	2.68	1309.7	12031.17
17300	2149.8	2.98	1408.51	12146.06
17400	2175.6	3.41	1429.46	12096.85
17500	2188.19	3.4	1366.29	12106.21
17600	2199.51	3.43	1386.54	12348.37
17700	2320.7	3.63	1400.54	12557.75
17800	2314.42	3.15	1381.1	12851.88
17900	2225.61	2.98	1356.56	12775.27
18000	2177.31	3.84	1286.68	12353.31
18100	2279.52	3.55	1357.24	12710.29
18200	2305.87	3.17	1390.34	12771.73
18300	2169.05	3.96	1336.83	12659.92
18400	2263.08	3.51	1348.9	12862.19
18500	2301.95	3.29	1383.11	12916.37
18600	2275.77	3.29	1345.8	12787.5
18700	2330.91	3.21	1363.36	13600.32
18800	2425.38	2.95	1635.78	13420.51
18900	2312.56	3.57	1553.65	13183.66
19000	2223.0	3.09	1373.47	13389.98
19100	2366.92	3.65	1599.91	13607.9
19200	2366.23	3.88	1684.38	13582.55
19300	2372.77	3.62	1644.12	13614.34
19400	2396.03	3.58	1544.67	13534.0
19500	2568.78	3.54	1468.33	13823.63
19600	2462.3	3.39	1567.58	13669.9
19700	2479.32	3.83	1439.1	13623.76
19800	2418.59	3.99	1575.08	13738.17
19900	2516.38	3.73	1459.57	14053.6
20000	2502.5	3.61	1504.17	14486.38
20100	2467.25	3.3	1467.46	13944.35
