elem	freq	tree	encode	decode	
100	16.04	1.51	9.06	78.91
200	33.7	1.93	20.48	198.26
300	34.72	0.59	20.67	163.8
400	66.32	1.42	39.44	330.88
500	65.48	1.41	42.22	316.44
600	80.46	1.04	49.42	389.15
700	92.64	0.95	58.08	421.25
800	102.28	0.95	64.94	489.68
900	118.84	1.14	79.16	570.34
1000	118.06	0.78	77.34	557.19
1100	136.68	0.82	83.18	625.66
1200	140.59	0.94	98.73	659.97
1300	153.69	0.89	94.99	730.02
1400	171.35	0.86	108.7	805.07
1500	197.32	1.01	117.21	885.64
1600	193.07	0.46	125.65	884.77
1700	205.89	1.15	128.88	974.87
1800	214.99	0.91	134.78	1017.29
1900	216.42	1.01	142.37	1053.96
2000	216.57	0.84	152.31	1084.55
2100	247.39	0.97	155.25	1140.32
2200	269.86	0.97	167.44	1234.69
2300	258.29	1.02	166.31	1244.12
2400	264.96	1.04	176.97	1344.6
2500	300.77	0.96	192.74	1372.78
2600	300.83	1.09	187.34	1418.75
2700	308.89	1.04	198.99	1416.73
2800	317.77	1.24	203.42	1546.55
2900	321.53	1.06	211.61	1595.15
3000	346.71	1.17	268.18	1665.4
3100	324.83	0.39	240.62	1616.27
3200	379.53	1.07	233.11	1703.73
3300	403.35	1.01	240.89	1726.47
3400	413.3	1.28	271.66	1878.53
3500	411.66	0.93	262.85	1929.97
3600	424.36	1.12	271.68	1997.62
3700	406.55	1.01	261.8	1899.16
3800	430.55	1.29	281.05	2041.74
3900	409.58	0.98	287.91	2078.09
4000	441.6	1.99	305.95	2138.51
4100	476.51	1.23	301.53	2214.37
4200	487.79	1.54	308.96	2236.1
4300	545.63	1.13	351.36	2399.97
4400	527.42	1.39	361.17	2438.97
4500	506.9	1.16	327.36	2419.55
4600	519.07	1.12	330.87	2453.12
4700	533.2	1.13	363.32	2537.65
4800	548.75	1.11	340.65	2520.62
4900	564.32	1.1	360.27	2702.84
5000	572.14	1.28	379.55	2718.27
5100	586.93	1.06	378.22	2765.93
5200	601.19	1.36	406.63	2929.19
5300	601.03	1.2	390.34	2982.69
5400	625.25	1.26	388.64	3078.3
5500	612.39	1.11	396.79	3029.87
5600	620.82	1.74	396.7	3106.26
5700	647.07	1.16	551.79	3037.54
5800	672.4	0.99	580.29	3001.82
5900	644.34	1.23	553.39	3146.42
6000	652.94	1.16	562.75	3198.23
6100	800.27	1.27	483.89	3226.2
6200	753.1	1.36	445.99	3161.69
6300	793.5	1.35	508.19	3358.16
6400	768.43	1.5	468.02	3421.89
6500	758.49	1.22	476.56	3411.28
6600	805.57	1.22	500.8	3588.63
6700	836.48	1.2	500.14	3625.56
6800	794.11	1.32	507.95	3640.66
6900	826.69	1.28	505.84	3670.59
7000	825.11	1.51	531.14	3834.29
7100	842.41	1.2	538.87	3892.22
7200	899.91	1.46	553.03	3901.41
7300	896.02	1.29	546.93	3961.98
7400	857.73	1.21	528.82	3846.25
7500	905.94	1.35	559.44	4153.91
7600	896.78	1.36	569.14	4136.28
7700	953.42	1.29	575.61	4161.42
7800	954.57	1.29	591.78	4328.22
7900	992.8	1.59	596.81	4390.72
8000	983.84	1.31	611.7	4466.04
8100	979.38	1.44	585.18	4499.16
8200	969.52	1.24	604.55	4561.2
8300	975.4	1.2	689.87	4570.88
8400	1007.95	1.24	674.35	4554.76
8500	947.83	1.21	705.41	4683.08
8600	1015.09	1.32	693.11	4803.2
8700	1031.23	1.31	650.19	4899.01
8800	1023.41	1.28	651.85	4854.58
8900	1043.42	1.32	665.0	4937.63
9000	1079.54	1.42	673.36	4994.27
9100	1094.76	1.3	678.64	5071.16
9200	1032.21	1.5	637.3	4880.77
9300	1094.05	1.33	716.76	5177.94
9400	1064.96	1.32	700.75	5201.43
9500	1090.33	1.45	706.29	5201.47
9600	1179.37	1.42	755.14	5576.6
9700	1144.06	1.65	740.57	5525.87
9800	1136.75	2.36	713.45	5392.13
9900	1145.93	1.46	702.79	5379.73
10000	1200.91	1.45	722.76	5627.89
10100	1273.14	1.63	775.09	5946.22
10200	1213.21	1.49	750.36	5851.42
10300	1242.92	1.39	761.69	5843.06
10400	1285.64	1.66	795.29	6128.79
10500	1237.45	1.36	774.13	6042.29
10600	1197.57	1.29	767.05	5990.36
10700	1275.04	1.68	817.05	6274.55
10800	1259.54	1.54	1004.61	6102.41
10900	1213.39	1.48	1016.25	6263.06
11000	1295.06	1.67	960.45	6128.67
11100	1238.11	1.75	993.63	6408.75
11200	1248.64	1.42	1000.38	6480.3
11300	1233.52	1.48	971.34	6115.24
11400	1236.42	1.39	950.58	5963.67
11500	1427.37	1.45	886.08	6350.33
11600	1238.2	1.39	1011.77	6166.54
11700	1387.9	1.99	889.55	6427.14
11800	1390.66	1.65	874.72	6616.36
11900	1454.87	1.66	867.88	6541.26
12000	1456.14	1.55	917.02	6610.36
12100	1446.31	2.07	913.19	6882.84
12200	1417.43	1.4	883.55	6665.98
12300	1554.36	1.5	933.19	6886.6
12400	1480.46	2.41	923.44	6861.32
12500	1665.23	2.46	1006.71	7608.86
12600	1605.44	2.92	1031.61	7466.6
12700	1528.51	1.97	955.95	7061.27
12800	1469.46	1.57	921.06	7054.44
12900	1555.39	1.83	972.68	7243.09
13000	1544.17	2.06	1003.21	7529.77
13100	1551.18	1.97	1024.32	7603.11
13200	1539.04	2.17	1048.04	7699.3
13300	1694.41	2.28	1106.03	7627.94
13400	1696.34	1.9	1104.86	7890.06
13500	1685.4	2.3	1096.79	7957.67
13600	1709.58	2.47	1020.98	8065.1
13700	1682.21	1.64	1087.94	7751.38
13800	1704.61	2.17	1059.82	8255.1
13900	1682.37	2.65	1157.58	8212.21
14000	1677.57	2.15	1115.86	8147.02
14100	1720.05	2.77	1099.53	8328.04
14200	1777.88	2.24	1110.1	8356.82
14300	1848.26	2.71	1137.83	8530.89
14400	1770.93	2.3	1136.63	8441.46
14500	1760.96	2.7	1122.97	8453.33
14600	1806.03	3.01	1159.0	8791.7
14700	1921.9	2.72	1167.76	8684.75
14800	1849.14	2.61	1199.47	8752.84
14900	1746.67	3.09	1150.53	8759.44
15000	1831.11	2.53	1177.07	8830.88
15100	1778.01	2.62	1231.71	9040.97
15200	1860.5	2.58	1231.57	9099.43
15300	1856.18	2.66	1198.53	9015.84
15400	1921.43	2.97	1193.09	8995.45
15500	1949.76	2.52	1278.47	9400.55
15600	1899.62	2.96	1227.24	9256.18
15700	1839.51	2.73	1217.99	9369.33
15800	1821.19	2.33	1385.8	9240.97
15900	1916.36	2.2	1264.72	9487.7
16000	1797.51	1.95	1387.34	9234.69
16100	1827.65	2.22	1466.28	9519.61
16200	1806.62	1.87	1446.19	9311.44
16300	2005.12	2.27	1255.7	9462.7
16400	1846.36	1.9	1355.74	9514.64
16500	1832.32	2.63	1418.4	9319.25
16600	2102.94	2.32	1303.39	9808.79
